Neighborhood,Latitude,Longitude
Allandale,30.342,-97.744
Anderson Mill,30.455,-97.809167
Barton Hills,30.258056,-97.781111
Blackland,30.280991,-97.722097
Bouldin Creek,30.249344,-97.755253
Bremond Block,30.270556,-97.746389
Brentwood,30.339917,-97.730856
"Brown Herman, Austin",30.3,-97.77
Bryker Woods,30.30483,-97.7518
Camp Mabry,30.3185,-97.7614
Canyon Creek,32.391111,-97.739444
Circle C Ranch,30.197,-97.904
Clarksville,30.280833,-97.762222
Congress Avenue,30.267778,-97.7425
Crestview,30.339917,-97.730856
Downtown Austin,30.271,-97.743
East Cesar Chavez,30.258056,-97.781111
East Riverside-Oltorf,30.233333,-97.720556
Easton Park,30.144722,-97.715278
Galindo,30.339917,-97.730856
Granada Hills,30.221,-97.902
Hancock,30.296,-97.724
Hyde Park,30.305833,-97.73
Montopolis,30.258056,-97.781111
Moore's Crossing,30.168056,-97.661667
Mueller Community,30.289444,-97.702636
North Burnet–Gateway,30.393,-97.721
North Shoal Creek,30.3653,-97.7335
Oak Hill,30.235278,-97.859722
Old West Austin,30.263611,-97.776667
Onion Creek,30.141111,-97.789167
Rainey Street,30.259444,-97.738333
Rosedale,30.3127,-97.7498
Saint John,30.33,-97.698
Scenic Brook,30.236538,-97.890604
South Congress,30.25,-97.75
South Lamar,30.339917,-97.730856
South River City,30.258056,-97.781111
Spyglass-Barton's Bluff,30.259947,-97.789485
Swedish Hill,30.275,-97.729444
Tarrytown,30.3,-97.77
Travis Heights,30.241667,-97.741667
West Line,30.263611,-97.776667
Westgate,30.225,-97.797222
Willow–Spence Streets,30.259167,-97.734444
Windsor Park,30.31406,-97.69009
Wooten,30.36,-97.723
Zilker Park,30.263611,-97.776667
Zilker,30.25,-97.766667
